Photography: CC0 / Public Domain via Openverse.

metal lathe machining | cc0 | unknown | https://www.rawpixel.com/image/5940048/free-public-domain-cc0-photo
metal lathe machining | cc0 | unknown | https://www.rawpixel.com/image/5920838/photo-image-public-domain-free-metal
metal lathe machining | cc0 | unknown | https://www.rawpixel.com/image/6075509/metalworking-equipment
metal lathe machining | cc0 | unknown | https://www.rawpixel.com/image/6038472/drill-bit-closeup-free-public-domain-cc0-photo
metal lathe machining | cc0 | unknown | https://www.rawpixel.com/image/6064115/free-public-domain-cc0-photo
metal lathe machining | cc0 | unknown | https://www.rawpixel.com/image/5958541/free-public-domain-cc0-photo
micrometer caliper tool | cc0 | Internet Archive Book Images | https://commons.wikimedia.org/w/index.php?curid=167058736
drill bit macro | cc0 | Junkyardsparkle | https://commons.wikimedia.org/w/index.php?curid=27422229
drill bit macro | cc0 | Travis Soule | https://stocksnap.io/photo/macro-drill-Z39ZXFULBC
workshop tools bench | cc0 | Lisa Fotios | https://stocksnap.io/photo/workbench-machinery-RKR8CFTODQ
workshop tools bench | cc0 | The World is a Stage | https://stocksnap.io/photo/workshop-wrench-O8DVPXYOIY
workshop tools bench | cc0 | Flat Lay Photos | https://stocksnap.io/photo/workshop-wrench-SM72VGLBBK
workshop tools bench | cc0 | unknown | https://www.rawpixel.com/image/13993827/image-cartoon-person-sword
